#,Date ,close ,Return,Sorted Returns,,Replication,Simulated Returns,,Calculation of value at risk - Tata Steel,,,,
,,,,,,,,,,,,,
,,,,,,239,0.000713835,,,,,,
,,,,,,240,-0.02070172,,,,,,
,,,,,,241,-0.003007962,,,,,,
,,,,,,242,-0.024877786,,,,,,
,,,,,,243,0.01526334,,,,,,
,,,,,,244,-0.010111608,,,,,,
,,,,,,245,-0.019555566,,,,,,
,,,,,,246,0.001309699,,,,,,
,,,,,,247,-0.00636565,,,,,,
,,,,,,248,0.012094815,,,,,,
,,,,,,249,-0.003652596,,,,,,
,,,,,,250,-0.000514444,,,,,,
,,,,,,251,0.008023018,,,,,,
,,,,,,252,-0.028388218,,,,,,
,,,,,,253,-0.02936613,,,,,,
,,,,,,254,0.021173444,,,,,,
,,,,,,255,-0.008487605,,,,,,
,,,,,,256,0.009805442,,,,,,
,,,,,,257,0.017490183,,,,,,
,,,,,,258,-0.00494397,,,,,,
,,,,,,259,-0.009125956,,,,,,
,,,,,,260,-0.007514419,,,,,,
,,,,,,261,-0.025735015,,,,,,
,,,,,,262,-0.00012722,,,,,,
,,,,,,263,-0.006003994,,,,,,
,,,,,,264,-0.006782331,,,,,,
,,,,,,265,-0.00371985,,,,,,
,,,,,,266,-0.005069545,,,,,,
,,,,,,267,-0.012932475,,,,,,
,,,,,,268,-0.027017772,,,,,,
,,,,,,269,-0.014731042,,,,,,
,,,,,,270,0.017559732,,,,,,
,,,,,,271,0.000931425,,,,,,
,,,,,,272,0.003176443,,,,,,
,,,,,,273,-0.018862027,,,,,,
,,,,,,274,0.012628701,,,,,,
,,,,,,275,-0.015936657,,,,,,
,,,,,,276,0.0085983,,,,,,
,,,,,,277,0.031843034,,,,,,
,,,,,,278,0.024844831,,,,,,
,,,,,,279,-0.010462883,,,,,,
,,,,,,280,0.029106598,,,,,,
,,,,,,281,-0.002397463,,,,,,
,,,,,,282,-0.011890639,,,,,,
,,,,,,283,0.019611165,,,,,,
,,,,,,284,0.013550104,,,,,,
,,,,,,285,-0.009925459,,,,,,
,,,,,,286,0.003483783,,,,,,
,,,,,,287,0.01865829,,,,,,
,,,,,,288,-0.001041084,,,,,,
,,,,,,289,-0.007923919,,,,,,
,,,,,,290,0.022216971,,,,,,
